,baseline_mrr,baseline_ndcg,expl_mrr,expl_ndcg,delta_mrr,delta_ndcg
q20154,0.014925373134328358,0.16427204996205025,0.018518518518518517,0.1729696904450771,0.0035931453841901596,0.008697640483026847
q20155,1.0,1.0,0.019230769230769232,0.17458343004804494,-0.9807692307692307,-0.8254165699519551
q20156,0.09090909090909091,0.27894294565112987,0.012987012987012988,0.15909880786929415,-0.07792207792207792,-0.11984413778183572
q20157,1.0,1.0,0.03125,0.19823986317056053,-0.96875,-0.8017601368294395
q20158,0.04,0.21274605355336318,0.03225806451612903,0.2,-0.0077419354838709695,-0.012746053553363168
q20159,0.09090909090909091,0.27894294565112987,0.16666666666666666,0.3562071871080222,0.07575757575757575,0.07726424145689231
q20160,0.2,0.38685280723454163,1.0,1.0,0.8,0.6131471927654584
q20161,1.0,1.0,1.0,1.0,0.0,0.0
q20162,0.011111111111111112,0.15366188628986424,0.0,0.0,-0.011111111111111112,-0.15366188628986424
q20163,0.009708737864077669,0.14924393652741208,0.0,0.0,-0.009708737864077669,-0.14924393652741208
q20164,0.1111111111111111,0.3010299956639812,0.021739130434782608,0.18003132665669264,-0.0893719806763285,-0.12099866900728856
q20165,0.034482758620689655,0.2037950470905062,0.014925373134328358,0.16427204996205025,-0.019557385486361295,-0.039522997128455944
q20166,0.0625,0.24465054211822604,0.0,0.0,-0.0625,-0.24465054211822604
q20167,0.006172839506172839,0.13607796873316694,0.05263157894736842,0.23137821315975915,0.04645873944119558,0.09530024442659221
q20168,1.0,1.0,0.025,0.18665241123894338,-0.975,-0.8133475887610566
q20169,0.015384615384615385,0.16544255391905832,0.012195121951219513,0.156861774859441,-0.003189493433395873,-0.008580779059617322
q20170,0.003278688524590164,0.12110367334688618,0.0,0.0,-0.003278688524590164,-0.12110367334688618
q20171,0.3333333333333333,0.5,0.25,0.43067655807339306,-0.08333333333333331,-0.06932344192660694
q20172,0.14285714285714285,0.3333333333333333,0.0,0.0,-0.14285714285714285,-0.3333333333333333
q20173,0.2,0.38685280723454163,0.0625,0.24465054211822604,-0.1375,-0.1422022651163156
q20174,0.0625,0.24465054211822604,0.03125,0.19823986317056053,-0.03125,-0.04641067894766551
q20175,0.04,0.21274605355336318,0.0,0.0,-0.04,-0.21274605355336318
q20176,0.05,0.227670248696953,0.01282051282051282,0.15863495891559604,-0.037179487179487186,-0.06903528978135695
q20177,0.08333333333333333,0.27023815442731974,0.0,0.0,-0.08333333333333333,-0.27023815442731974
q20178,1.0,1.0,1.0,1.0,0.0,0.0
q20179,1.0,1.0,0.0,0.0,-1.0,-1.0
q20180,0.1111111111111111,0.3010299956639812,0.04,0.21274605355336318,-0.0711111111111111,-0.08828394211061802
